1,,입금,324215,월급,2025-03-13
2,,출금,101543,생필품,2025-03-20
3,,출금,454934,의료/건강,2025-07-11
4,,입금,2168820,기타,2025-07-05
5,,출금,278746,패션/미용,2025-04-10
6,,입금,233878,부수입,2025-02-01
7,,출금,465844,교통비,2025-06-29
8,,출금,145862,생필품,2025-03-20
9,,출금,93768,패션/미용,2025-06-19
10,,출금,307798,생필품,2025-04-30
11,,출금,266375,주거/공과금,2025-03-23
12,,입금,1619728,월급,2025-05-30
13,,입금,1088765,기타,2025-01-29
14,,출금,38978,패션/미용,2025-03-31
15,,입금,277178,월급,2025-04-07
16,,출금,71220,패션/미용,2025-01-20
17,,출금,83863,의료/건강,2025-03-18
18,,출금,226171,생필품,2025-03-08
19,,출금,48181,식비,2025-07-15
20,,입금,255377,기타,2025-07-29
21,,입금,2390312,월급,2025-02-09
22,,출금,79739,식비,2025-06-14
23,,출금,258639,패션/미용,2025-05-16
24,,입금,663053,부수입,2025-06-23
25,,출금,128652,식비,2025-03-19
26,,출금,403727,교통비,2025-05-04
27,,출금,437283,생필품,2025-05-19
28,,입금,94545,부수입,2025-04-05
29,,출금,222725,기타,2025-01-12
30,,출금,222632,식비,2025-02-27
31,,출금,320511,패션/미용,2025-07-10
32,,출금,140152,주거/공과금,2025-03-04
33,,출금,348011,기타,2025-03-12
34,,출금,145180,패션/미용,2025-07-30
35,,입금,375949,월급,2025-07-24
36,,출금,194843,의료/건강,2025-06-24
37,,출금,208590,교통비,2025-02-18
38,,입금,1504694,기타,2025-07-25
39,,입금,717368,부수입,2025-02-19
40,,입금,2280643,부수입,2025-01-19
41,,출금,347062,주거/공과금,2025-02-03
42,,출금,178797,기타,2025-07-14
43,,입금,1855863,부수입,2025-04-05
44,,입금,544267,기타,2025-03-13
45,,출금,222559,주거/공과금,2025-01-03
46,,출금,81854,기타,2025-04-26
47,,출금,258796,교통비,2025-03-19
48,,입금,57056,부수입,2025-07-13
49,,출금,452797,의료/건강,2025-01-07
50,,출금,435941,의료/건강,2025-05-27
51,,출금,169183,패션/미용,2025-06-17
52,,출금,171971,생필품,2025-02-12
53,,출금,149981,교통비,2025-01-25
54,,출금,51132,기타,2025-02-15
55,,출금,137456,기타,2025-01-04
56,,출금,240630,생필품,2025-04-10
57,,출금,103814,생필품,2025-02-18
58,,출금,128545,의료/건강,2025-07-11
59,,출금,421174,식비,2025-01-13
60,,출금,183161,생필품,2025-05-26
61,,출금,178679,기타,2025-07-21
62,,출금,287314,패션/미용,2025-06-05
63,,출금,136217,의료/건강,2025-07-13
64,,출금,237301,생필품,2025-03-02
65,,입금,1223552,부수입,2025-01-15
66,,입금,993876,부수입,2025-02-25
67,,출금,88236,패션/미용,2025-02-12
68,,입금,2199962,월급,2025-04-24
69,,출금,343595,주거/공과금,2025-03-05
70,,출금,496588,문화생활/여가,2025-04-14
71,,출금,34221,교통비,2025-04-26
72,,출금,144526,패션/미용,2025-01-26
73,,출금,11065,생필품,2025-07-19
74,,입금,937147,월급,2025-04-09
75,,출금,365677,주거/공과금,2025-06-15
76,,입금,1362956,기타,2025-03-12
77,,입금,2375729,월급,2025-02-14
78,,출금,222572,교통비,2025-02-22
79,,출금,406868,기타,2025-01-28
80,,출금,270004,기타,2025-01-06
81,,출금,324359,교통비,2025-03-08
82,,출금,92235,식비,2025-06-04
83,,출금,28700,기타,2025-02-03
84,,입금,750869,부수입,2025-02-14
85,,출금,465890,기타,2025-06-03
86,,출금,159340,교통비,2025-05-04
87,,출금,144209,교통비,2025-01-15
88,,입금,1170361,월급,2025-01-16
89,,입금,693796,기타,2025-05-26
90,,출금,95324,식비,2025-03-29
91,,출금,41712,주거/공과금,2025-04-15
92,,출금,425901,교통비,2025-06-22
93,,출금,461883,패션/미용,2025-06-20
94,,입금,184061,월급,2025-02-15
95,,출금,187954,주거/공과금,2025-07-02
96,,출금,339207,의료/건강,2025-06-26
97,,입금,383304,부수입,2025-06-20
98,,입금,83705,부수입,2025-03-28
99,,입금,1018603,부수입,2025-06-07
100,,출금,97560,기타,2025-07-28
101,,출금,114820,의료/건강,2025-01-09
102,,출금,283103,생필품,2025-02-01
103,,출금,438114,교통비,2025-05-02
104,,출금,216465,의료/건강,2025-03-20
105,,출금,438725,교통비,2025-01-26
106,,출금,178693,패션/미용,2025-02-26
107,,출금,473346,주거/공과금,2025-05-31
108,,출금,378657,주거/공과금,2025-07-19
109,,출금,57580,문화생활/여가,2025-01-19
110,,출금,43217,패션/미용,2025-06-07
111,,출금,61290,패션/미용,2025-07-25
112,,출금,385388,패션/미용,2025-03-07
113,,입금,727634,부수입,2025-07-18
114,,출금,392104,식비,2025-05-13
115,,출금,466153,교통비,2025-07-29
116,,출금,237286,식비,2025-03-02
117,,출금,458843,생필품,2025-07-18
118,,출금,459350,기타,2025-04-16
119,,입금,926582,월급,2025-03-11
120,,출금,127887,생필품,2025-05-07
121,,입금,1453408,기타,2025-04-09
122,,출금,47680,교통비,2025-04-03
123,,출금,451972,주거/공과금,2025-01-13
124,,출금,47953,교통비,2025-01-21
125,,출금,64585,기타,2025-01-11
126,,입금,1415657,기타,2025-02-24
127,,출금,430700,식비,2025-06-26
128,,입금,1152895,월급,2025-04-11
129,,출금,447542,기타,2025-07-07
130,,입금,2151439,기타,2025-04-28
131,,출금,250981,식비,2025-06-17
132,,출금,343167,패션/미용,2025-06-08
133,,출금,299765,패션/미용,2025-01-29
134,,출금,169515,패션/미용,2025-05-12
135,,출금,22850,식비,2025-03-25
136,,출금,54499,주거/공과금,2025-07-27
137,,출금,472051,주거/공과금,2025-05-14
138,,출금,280411,기타,2025-03-18
139,,입금,1695308,부수입,2025-02-02
140,,출금,278289,기타,2025-06-27
141,,출금,112744,의료/건강,2025-03-12
142,,출금,233707,교통비,2025-07-03
143,,출금,127477,기타,2025-06-28
144,,출금,228193,패션/미용,2025-04-03
145,,입금,1441091,기타,2025-07-22
146,,입금,919680,월급,2025-04-03
147,,출금,364844,의료/건강,2025-02-06
148,,출금,464595,교통비,2025-04-19
149,,출금,383408,교통비,2025-01-09
150,,출금,486130,생필품,2025-03-31
151,,입금,1770243,부수입,2025-05-25
152,,출금,274324,교통비,2025-05-05
153,,출금,419908,주거/공과금,2025-04-29
154,,입금,705608,기타,2025-01-13
155,,출금,289585,생필품,2025-03-08
156,,입금,1837255,부수입,2025-03-08
157,,출금,198391,기타,2025-02-07
158,,출금,457045,의료/건강,2025-07-15
159,,출금,241756,문화생활/여가,2025-06-01
160,,출금,75055,기타,2025-05-17
161,,출금,280263,식비,2025-07-04
162,,입금,363218,월급,2025-05-30
163,,출금,204474,생필품,2025-05-01
164,,출금,322933,기타,2025-06-27
